Iteration	Posterior	Likelihood	Prior	ratePrior	y[1]	y[2]	y[3]	y[4]	y[5]	y[6]	y[7]	y[8]	y[9]	y[10]
0	-44.87735	-43.84374	-1.033604	1.282114	2	2	5	5	6	5	1	3	9	5
10	-33.36405	-32.06412	-1.299927	1.986099	2	2	5	5	6	5	1	3	9	5
20	-28.14279	-26.48531	-1.657476	2.621051	2	2	5	5	6	5	1	3	9	5
30	-25.12832	-22.89932	-2.229006	3.474439	2	2	5	5	6	5	1	3	9	5
40	-25.27879	-23.10846	-2.170327	3.39164	2	2	5	5	6	5	1	3	9	5
50	-25.50657	-22.26782	-3.238743	4.809293	2	2	5	5	6	5	1	3	9	5
60	-24.75519	-22.00496	-2.750234	4.180717	2	2	5	5	6	5	1	3	9	5
70	-24.71421	-22.13304	-2.58117	3.95654	2	2	5	5	6	5	1	3	9	5
80	-24.83028	-21.9881	-2.842182	4.301038	2	2	5	5	6	5	1	3	9	5
90	-27.3365	-23.50429	-3.83221	5.545131	2	2	5	5	6	5	1	3	9	5
100	-24.94404	-22.00603	-2.93801	4.425362	2	2	5	5	6	5	1	3	9	5
110	-24.7116	-22.09916	-2.612435	3.998305	2	2	5	5	6	5	1	3	9	5
120	-25.88163	-22.49531	-3.386316	4.994692	2	2	5	5	6	5	1	3	9	5
130	-29.02888	-24.78501	-4.243865	6.042719	2	2	5	5	6	5	1	3	9	5
140	-28.90967	-24.69269	-4.216987	6.010493	2	2	5	5	6	5	1	3	9	5
150	-25.96017	-22.54555	-3.414617	5.030046	2	2	5	5	6	5	1	3	9	5
160	-25.01611	-22.02856	-2.987552	4.489234	2	2	5	5	6	5	1	3	9	5
170	-24.71302	-22.12335	-2.589665	3.967903	2	2	5	5	6	5	1	3	9	5
180	-25.53288	-22.28296	-3.249927	4.823408	2	2	5	5	6	5	1	3	9	5
190	-24.74089	-22.23466	-2.50623	3.855812	2	2	5	5	6	5	1	3	9	5
200	-24.73111	-22.20541	-2.525692	3.882057	2	2	5	5	6	5	1	3	9	5
210	-24.86283	-21.99003	-2.872801	4.340878	2	2	5	5	6	5	1	3	9	5
220	-24.73167	-22.02597	-2.705693	4.122041	2	2	5	5	6	5	1	3	9	5
230	-24.93093	-22.00264	-2.928286	4.412794	2	2	5	5	6	5	1	3	9	5
240	-25.14663	-22.92536	-2.221268	3.463567	2	2	5	5	6	5	1	3	9	5
250	-26.14016	-24.19495	-1.945212	3.065385	2	2	5	5	6	5	1	3	9	5
260	-26.80508	-24.97662	-1.828462	2.889569	2	2	5	5	6	5	1	3	9	5
270	-25.35067	-23.20513	-2.145544	3.356419	2	2	5	5	6	5	1	3	9	5
280	-25.06774	-22.04788	-3.019858	4.530745	2	2	5	5	6	5	1	3	9	5
290	-25.47694	-22.25098	-3.225966	4.793155	2	2	5	5	6	5	1	3	9	5
300	-24.71354	-22.07151	-2.642029	4.037705	2	2	5	5	6	5	1	3	9	5
310	-24.99087	-22.69626	-2.294616	3.566085	2	2	5	5	6	5	1	3	9	5
320	-24.77726	-22.32298	-2.454275	3.785437	2	2	5	5	6	5	1	3	9	5
330	-25.71627	-23.67599	-2.040275	3.204981	2	2	5	5	6	5	1	3	9	5
340	-24.80357	-22.37759	-2.425981	3.746913	2	2	5	5	6	5	1	3	9	5
350	-25.19116	-22.98796	-2.203202	3.43813	2	2	5	5	6	5	1	3	9	5
360	-24.73268	-22.02466	-2.708013	4.125104	2	2	5	5	6	5	1	3	9	5
370	-26.43132	-24.54102	-1.890306	2.983354	2	2	5	5	6	5	1	3	9	5
380	-25.08038	-22.83013	-2.250252	3.50422	2	2	5	5	6	5	1	3	9	5
390	-24.78538	-21.99289	-2.792494	4.236148	2	2	5	5	6	5	1	3	9	5
400	-24.89302	-21.99445	-2.898572	4.374324	2	2	5	5	6	5	1	3	9	5
410	-24.912	-22.57102	-2.340971	3.630281	2	2	5	5	6	5	1	3	9	5
420	-24.98332	-22.68462	-2.298707	3.571767	2	2	5	5	6	5	1	3	9	5
430	-25.20409	-22.10767	-3.09642	4.628695	2	2	5	5	6	5	1	3	9	5
440	-25.00607	-22.02508	-2.980996	4.480797	2	2	5	5	6	5	1	3	9	5
450	-26.23015	-22.72326	-3.506881	5.144884	2	2	5	5	6	5	1	3	9	5
460	-25.14824	-22.08189	-3.066348	4.590291	2	2	5	5	6	5	1	3	9	5
470	-26.45402	-22.87544	-3.578577	5.233694	2	2	5	5	6	5	1	3	9	5
480	-26.72511	-23.06432	-3.660792	5.335099	2	2	5	5	6	5	1	3	9	5
490	-26.50416	-22.91002	-3.594133	5.252916	2	2	5	5	6	5	1	3	9	5
500	-25.1454	-22.08062	-3.064775	4.588281	2	2	5	5	6	5	1	3	9	5
510	-24.71179	-22.08911	-2.62268	4.01196	2	2	5	5	6	5	1	3	9	5
520	-24.80928	-21.98898	-2.8203	4.272499	2	2	5	5	6	5	1	3	9	5
530	-25.90522	-22.51032	-3.394896	5.005416	2	2	5	5	6	5	1	3	9	5
540	-25.26993	-23.09643	-2.173506	3.396147	2	2	5	5	6	5	1	3	9	5
550	-24.76703	-21.99894	-2.768093	4.20417	2	2	5	5	6	5	1	3	9	5
560	-24.85945	-21.98968	-2.869771	4.33694	2	2	5	5	6	5	1	3	9	5
570	-25.02126	-22.74251	-2.278753	3.544012	2	2	5	5	6	5	1	3	9	5
580	-24.94689	-22.62749	-2.319402	3.600465	2	2	5	5	6	5	1	3	9	5
590	-28.52158	-26.9029	-1.61868	2.557845	2	2	5	5	6	5	1	3	9	5
600	-26.50792	-24.63099	-1.876923	2.96319	2	2	5	5	6	5	1	3	9	5
610	-24.84995	-21.98886	-2.861086	4.325648	2	2	5	5	6	5	1	3	9	5
620	-25.04784	-22.04017	-3.007669	4.515095	2	2	5	5	6	5	1	3	9	5
630	-24.73382	-22.21395	-2.51987	3.874213	2	2	5	5	6	5	1	3	9	5
640	-24.71164	-22.10216	-2.609478	3.994362	2	2	5	5	6	5	1	3	9	5
650	-24.81	-22.39025	-2.419748	3.738408	2	2	5	5	6	5	1	3	9	5
660	-24.71249	-22.0796	-2.632892	4.025555	2	2	5	5	6	5	1	3	9	5
670	-25.56614	-23.48609	-2.080056	3.262572	2	2	5	5	6	5	1	3	9	5
680	-26.15248	-24.20973	-1.942745	3.061723	2	2	5	5	6	5	1	3	9	5
690	-24.83625	-22.4399	-2.39635	3.706415	2	2	5	5	6	5	1	3	9	5
700	-24.9734	-22.66922	-2.304182	3.579369	2	2	5	5	6	5	1	3	9	5
710	-25.14948	-22.9294	-2.220079	3.461894	2	2	5	5	6	5	1	3	9	5
720	-24.82156	-21.98823	-2.833329	4.2895	2	2	5	5	6	5	1	3	9	5
730	-25.2189	-23.02647	-2.192437	3.422936	2	2	5	5	6	5	1	3	9	5
740	-24.71335	-22.12628	-2.587066	3.964427	2	2	5	5	6	5	1	3	9	5
750	-24.7136	-22.07113	-2.642467	4.038288	2	2	5	5	6	5	1	3	9	5
760	-24.71226	-22.08207	-2.630186	4.021953	2	2	5	5	6	5	1	3	9	5
770	-24.7216	-22.17118	-2.550421	3.915317	2	2	5	5	6	5	1	3	9	5
780	-24.8343	-21.98815	-2.846149	4.306207	2	2	5	5	6	5	1	3	9	5
790	-24.73448	-22.21597	-2.518505	3.872373	2	2	5	5	6	5	1	3	9	5
800	-26.48678	-24.6062	-1.880576	2.968701	2	2	5	5	6	5	1	3	9	5
810	-25.06668	-22.04746	-3.019218	4.529923	2	2	5	5	6	5	1	3	9	5
820	-25.08005	-22.82965	-2.250403	3.504431	2	2	5	5	6	5	1	3	9	5
830	-25.29821	-23.13476	-2.163454	3.381888	2	2	5	5	6	5	1	3	9	5
840	-24.81069	-21.98886	-2.821826	4.274491	2	2	5	5	6	5	1	3	9	5
850	-25.65203	-22.35322	-3.298802	4.884964	2	2	5	5	6	5	1	3	9	5
860	-27.14478	-23.36455	-3.780232	5.481636	2	2	5	5	6	5	1	3	9	5
870	-25.12528	-22.07178	-3.053503	4.57386	2	2	5	5	6	5	1	3	9	5
880	-25.7733	-22.42731	-3.345995	4.944212	2	2	5	5	6	5	1	3	9	5
890	-25.39494	-22.20547	-3.18947	4.746978	2	2	5	5	6	5	1	3	9	5
900	-24.74247	-22.01427	-2.728193	4.151715	2	2	5	5	6	5	1	3	9	5
910	-24.95538	-22.64096	-2.314425	3.593572	2	2	5	5	6	5	1	3	9	5
920	-25.85204	-22.47658	-3.375461	4.981114	2	2	5	5	6	5	1	3	9	5
930	-24.75096	-22.00766	-2.743304	4.171605	2	2	5	5	6	5	1	3	9	5
940	-24.74725	-22.01033	-2.736921	4.163206	2	2	5	5	6	5	1	3	9	5
950	-24.72572	-22.03503	-2.690693	4.102222	2	2	5	5	6	5	1	3	9	5
960	-24.73927	-22.23008	-2.509192	3.859809	2	2	5	5	6	5	1	3	9	5
970	-24.72239	-22.17442	-2.547977	3.912034	2	2	5	5	6	5	1	3	9	5
980	-26.71299	-24.87005	-1.842936	2.911659	2	2	5	5	6	5	1	3	9	5
990	-25.91975	-23.92781	-1.991947	3.134378	2	2	5	5	6	5	1	3	9	5
1000	-25.91591	-23.92311	-1.992808	3.135642	2	2	5	5	6	5	1	3	9	5
1010	-25.03418	-22.7619	-2.272279	3.534989	2	2	5	5	6	5	1	3	9	5
1020	-25.82934	-23.81661	-2.012724	3.16482	2	2	5	5	6	5	1	3	9	5
1030	-24.77466	-22.31729	-2.457371	3.789643	2	2	5	5	6	5	1	3	9	5
1040	-25.63553	-23.57437	-2.061168	3.235285	2	2	5	5	6	5	1	3	9	5
1050	-26.65652	-24.80447	-1.852043	2.925513	2	2	5	5	6	5	1	3	9	5
1060	-25.03133	-22.75763	-2.273696	3.536965	2	2	5	5	6	5	1	3	9	5
1070	-24.83056	-21.9881	-2.842459	4.301399	2	2	5	5	6	5	1	3	9	5
1080	-24.71199	-22.11091	-2.601073	3.983145	2	2	5	5	6	5	1	3	9	5
1090	-24.78499	-22.33958	-2.445415	3.773389	2	2	5	5	6	5	1	3	9	5
1100	-25.18984	-22.98612	-2.203722	3.438863	2	2	5	5	6	5	1	3	9	5
1110	-26.77846	-24.94586	-1.832599	2.895892	2	2	5	5	6	5	1	3	9	5
1120	-24.7437	-22.24241	-2.501292	3.849142	2	2	5	5	6	5	1	3	9	5
1130	-25.58939	-22.31594	-3.27345	4.85306	2	2	5	5	6	5	1	3	9	5
1140	-25.30884	-22.15975	-3.149085	4.69574	2	2	5	5	6	5	1	3	9	5
1150	-26.97358	-23.24106	-3.732521	5.423208	2	2	5	5	6	5	1	3	9	5
1160	-24.9213	-22.00032	-2.920975	4.403337	2	2	5	5	6	5	1	3	9	5
1170	-25.07819	-22.05205	-3.026135	4.538797	2	2	5	5	6	5	1	3	9	5
1180	-25.11746	-22.88377	-2.233692	3.481016	2	2	5	5	6	5	1	3	9	5
1190	-24.71342	-22.12694	-2.586484	3.96365	2	2	5	5	6	5	1	3	9	5
1200	-25.12853	-22.07319	-3.055343	4.576216	2	2	5	5	6	5	1	3	9	5
1210	-25.19473	-22.10324	-3.091484	4.622398	2	2	5	5	6	5	1	3	9	5
1220	-25.42224	-23.29976	-2.122479	3.323496	2	2	5	5	6	5	1	3	9	5
1230	-25.6321	-23.57002	-2.062082	3.236607	2	2	5	5	6	5	1	3	9	5
1240	-25.166	-22.08992	-3.076082	4.602733	2	2	5	5	6	5	1	3	9	5
1250	-24.73371	-22.02338	-2.71033	4.128162	2	2	5	5	6	5	1	3	9	5
1260	-25.66002	-22.35803	-3.301987	4.888969	2	2	5	5	6	5	1	3	9	5
1270	-24.83698	-22.44124	-2.395737	3.705576	2	2	5	5	6	5	1	3	9	5
