Iteration	Posterior	Likelihood	Prior	r1	r2
0	-98.89659	-98.48881	-0.4077885	0.1833866	0.7136548
200	-103.0233	-99.16713	-3.856188	0.4322265	2.189015
400	-103.7007	-98.80998	-4.890703	0.5464468	2.592052
600	-102.3558	-98.80035	-3.555441	0.4309636	2.039904
800	-101.5544	-101.386	-0.1683973	0.1048246	0.6725212
1000	-99.55206	-98.46514	-1.086919	0.2483759	0.988231
1200	-99.59353	-98.97622	-0.6173086	0.1696935	0.832108
1400	-100.5116	-99.64707	-0.8645582	0.2738174	0.8516089
1600	-100.551	-98.87856	-1.672425	0.3427316	1.186628
1800	-99.63236	-98.78353	-0.8488229	0.2467475	0.8708111
2000	-100.8779	-98.85653	-2.021329	0.3805778	1.323234
2200	-100.5793	-98.57622	-2.003069	0.3580988	1.336583
2400	-98.63544	-98.88585	0.2504158	0.1274116	0.4405277
2600	-98.88819	-98.45719	-0.4309969	0.1786676	0.729978
2800	-103.9313	-99.23066	-4.700636	0.7122491	2.331216
3000	-100.914	-100.234	-0.6799793	0.1524027	0.8807342
3200	-98.2955	-99.07388	0.7783848	0.05075848	0.2531963
3400	-101.6218	-100.4188	-1.203038	0.332956	0.9617103
3600	-104.3337	-103.8156	-0.518095	0.2855556	0.6666391
3800	-98.79253	-98.46654	-0.3259913	0.1722176	0.6839253
4000	-98.14346	-98.73783	0.5943689	0.06990106	0.3260617
4200	-99.7775	-100.091	0.3135429	0.1349825	0.4013932
4400	-98.98814	-98.47354	-0.5145979	0.1923796	0.7580665
4600	-100.3922	-98.45808	-1.934124	0.3296271	1.330582
4800	-100.6115	-99.69308	-0.9184281	0.2814371	0.8709242
5000	-102.2288	-98.9985	-3.230353	0.3896955	1.918628
5200	-98.21008	-99.30486	1.094774	0.03437344	0.1113866
5400	-98.6432	-99.37884	0.735636	0.07727942	0.2480497
5600	-98.32566	-98.59027	0.2646131	0.1189705	0.4418701
5800	-98.97206	-98.46273	-0.5093312	0.1840495	0.7637633
6000	-98.6984	-98.55857	-0.1398272	0.1603997	0.6026611
6200	-99.12437	-98.48277	-0.6415919	0.2065494	0.8073937
6400	-98.401	-99.42906	1.028059	0.04275074	0.1363671
6600	-102.8471	-99.54128	-3.305803	0.5656538	1.780395
6800	-98.18113	-98.80203	0.6209087	0.08475443	0.2979384
7000	-97.94866	-98.45721	0.5085493	0.08681704	0.3520555
7200	-101.0207	-100.9035	-0.1171157	0.1050141	0.6466909
7400	-99.67881	-99.51745	-0.161357	0.1861841	0.5876416
7600	-98.87126	-99.88054	1.009276	0.02872197	0.1597874
7800	-99.7409	-98.46746	-1.273441	0.2568341	1.073034
8000	-101.7497	-99.64233	-2.107385	0.4248398	1.322
8200	-98.95447	-98.46259	-0.491883	0.1880318	0.7510569
8400	-102.9455	-98.73121	-4.214303	0.6126256	2.187673
8600	-97.87338	-98.78723	0.9138462	0.05218856	0.1840355
8800	-98.833	-98.45876	-0.3742332	0.1750938	0.70517
9000	-99.31824	-98.87683	-0.4414063	0.2047432	0.7091071
9200	-101.6827	-99.39202	-2.29073	0.2948746	1.543638
9400	-98.56106	-98.56746	0.006397248	0.1454215	0.5445271
9600	-101.2514	-99.10984	-2.141557	0.2931018	1.470824
9800	-99.26627	-99.26211	-0.004158979	0.1132565	0.5819701
10000	-100.7265	-99.66876	-1.057761	0.2978561	0.9241714
10200	-98.65464	-98.45763	-0.1970066	0.155317	0.6363335
10400	-100.3073	-98.89602	-1.411285	0.3142658	1.084524
10600	-99.18051	-98.51201	-0.668505	0.2124006	0.814999
10800	-98.08782	-98.76022	0.6723997	0.06273356	0.2942138
11000	-98.78689	-98.73133	-0.05556352	0.1274375	0.5934915
11200	-103.64	-101.7019	-1.938118	0.2193056	1.442901
11400	-98.07747	-98.65714	0.5796672	0.07246669	0.3308469
11600	-99.12745	-99.85391	0.7264618	0.05039669	0.2795196
11800	-98.24554	-98.47458	0.2290403	0.1110538	0.4675733
12000	-98.99663	-98.66843	-0.3282031	0.153621	0.7036277
12200	-100.1307	-98.72423	-1.406484	0.2471989	1.14919
12400	-98.68111	-98.69315	0.01203928	0.1224498	0.5646777
12600	-99.26143	-99.90709	0.6456579	0.05627971	0.3140385
12800	-99.19831	-98.49597	-0.7023438	0.2143091	0.83001
13000	-102.2377	-98.5966	-3.641138	0.458779	2.054937
13200	-99.40273	-98.52827	-0.874465	0.2351972	0.8951824
13400	-98.34755	-98.45864	0.1110903	0.1267888	0.5108133
13600	-98.96966	-98.9539	-0.01575465	0.1191527	0.5818718
13800	-99.28085	-98.83095	-0.4498955	0.1592501	0.7588448
14000	-99.08193	-98.51003	-0.5719046	0.2022436	0.7768558
14200	-99.61128	-98.76636	-0.8449149	0.2455968	0.8700079
14400	-102.1963	-99.1187	-3.077595	0.3704229	1.861522
14600	-101.4268	-98.52397	-2.902816	0.4454949	1.69906
14800	-99.02396	-98.45719	-0.5667687	0.1931459	0.7833856
15000	-97.53326	-98.4923	0.9590392	0.04053497	0.1730926
15200	-102.5249	-98.4665	-4.058366	0.5262741	2.196056
15400	-98.65346	-98.89225	0.2387884	0.128835	0.444918
15600	-100.492	-98.58492	-1.907092	0.3488045	1.297889
15800	-98.27238	-99.38161	1.109226	0.0329165	0.1056179
16000	-98.8562	-99.25586	0.3996596	0.1157542	0.3775632
16200	-97.86858	-98.47885	0.6102633	0.07423725	0.3137783
16400	-98.14247	-98.46479	0.3223192	0.1068098	0.4251778
16600	-98.93977	-98.60809	-0.331678	0.1830611	0.675925
16800	-102.3302	-99.29292	-3.037319	0.3589525	1.852854
17000	-97.71924	-99.0016	1.282361	0.01184317	0.04012332
17200	-99.21251	-100.0019	0.7893625	0.04495715	0.2535088
17400	-100.0091	-98.79535	-1.213759	0.2875995	1.012427
17600	-99.68391	-100.4527	0.7687811	0.07957337	0.2291832
17800	-99.97668	-99.20538	-0.7713026	0.1770056	0.9017929
18000	-98.02709	-98.89923	0.8721446	0.04407678	0.2129981
18200	-99.64995	-98.57688	-1.073064	0.2598894	0.9697897
18400	-97.97379	-98.84127	0.867486	0.05780811	0.2015961
18600	-101.0852	-99.4369	-1.648284	0.3624014	1.154888
18800	-99.53263	-98.88354	-0.6490918	0.2282326	0.7894605
19000	-97.50025	-98.50753	1.007288	0.03568274	0.1538203
19200	-101.184	-98.59769	-2.586286	0.3624065	1.623883
